,0
da7dabfe03d3ca067cdf37e73dabb5b2,864.0
78edb0dc707e380ec182025e94a88047,855.0
6882050cfb5dcd709cccaaa7adc48177,853.0
330fb4fb3dcaa3c332867cb80a2fdb0c,845.0
d1d49cf5fcc1ef77fd87cea20bde3709,839.0
26d263663ceadd688e584766aa26c60a,839.0
b346ff1755deb0a06fc0ac713aebc0ba,834.0
9702951903c906d330021ab7d4ad5335,824.0
2217a6a8ac9d1f92894532f86aee6192,818.0
f80702fe63030230bf561e642188ff05,812.0
2fc5086981277433bc2875d407742f54,811.0
e346c19d26b1f5a973083a2bad04faf7,810.0
4c292656654ebaf33dfb6c6b4ed568b0,809.0
fa0976bd061bdee0ffae1325a497e84a,807.0
43c54119110718fa142e14e718dee3b2,799.0
dfda72be9c78d5727c29ef11a88ed7f1,790.0
57b2fbaf9c70cbb3479bbb75f3a28510,782.0
26be82a3afc20add2e34617cf488170e,779.0
0e0a6793c46706ad82818f888d806c47,772.0
bb7d9f712c1b44f9095c999922f4f770,771.0
cd5c5b2717d05d53e92436144363873f,770.0
f8b2c8c2edca7aef6b9f553c8c31dd33,766.0
1af712ae49f5ab965720c22d40d2d084,765.0
1e0ad2ecd13e6071f345401898b5a418,760.0
c8b70412ded4e8284473ae6015de9cb5,756.0
c6881a4bfc6f95aeceb5ead5312e13a7,756.0
183ac7a5de8dd858750e86d00f80069a,752.0
f7068f0bb5b084e1c0e6f37d54f53320,751.0
7c666339af7691d874ac7714b005b2dd,745.0
b0b751e03d91bfe1015e5948215a549f,742.0
d2a1f8fa643d393252500240e6232b0f,738.0
06fcc11648b81cd62901b79d0a36282b,738.0
45efe3557447fbaf82f82db4c3d2be41,732.0
2358d0904da3b20d09eabf6f79846cb5,729.0
6058d513a92503076abf8ef239ec0578,721.0
bd4a9058a3c32f1477b503cb546b0c09,720.0
344f7b213880ea4307b079587401a182,714.0
df6f56d774a3aeb6410ec8c6fbe2aff2,714.0
320d6f472dcbe08892f2b09d39db8cba,711.0
2c5c2c5ed9542f834615bc180ec50251,706.0
b1d9756b8531b8124e5c7b4461a7d2a6,705.0
096652ba0fbd60f4ae378eb4ab96cc0f,701.0
58345f05f5a332a01dea739940aca0a2,698.0
1c645442d420ae3ef5ceda9934446c9b,697.0
8118088dc0f70cf3adefd779c05cbb31,693.0
123a695e5e02642ea2e7a813ae606c80,693.0
f653664349d9474aa3cf46a6cc93eaac,689.0
9a622301a4341ef46efb725ea2e12fbe,685.0
dd1a12ef7e80c7cc992f3db3bf62816f,685.0
f1db5f33f20d72bb84383742b58c1793,684.0
c03ed4cce80ff32e1b6e4f8e7016d3e8,682.0
d2f4793878897567b08777bda30dd5df,669.0
7f3af47f013227637622477378e848ef,666.0
ac7240bb880fca56f7069f3611aa480f,662.0
8c8cff15699e01a10e5c0f2e4ccb5219,660.0
b026928b53e2f5e5f6605dfc5141c60b,659.0
ef5794ba0721c8d863d94c157415077e,656.0
e6b80e8c70bd6f4b47a8ac70d86cb762,656.0
9fc3f71f3d69454e50e26365ac388e7f,648.0
948468bd7f9e82a992310b83a3081874,647.0
8fb1164e62ae74ffff2604310f10e17b,645.0
093f726db18d5772625e674479ae438a,631.0
dac34a65b71addc6ddbdd2ab42fe6eda,629.0
d00a4e757caeb5a75f9c1ab1a05ee954,625.0
fd023d9488943c9a623af0867adf5041,622.0
68bc09c17558864e0ddc20a4926e8123,618.0
9ac8427376dedd9fcdadc1d959b854ad,613.0
67303a0468d54c31350a4172cde1642f,613.0
28442f79c8e316d828cada9bfa952216,612.0
0564bc6ffe2cebd2630324585c6a5d90,612.0
057b88e05439f02227be297b9884cce5,608.0
b64bb6b53d11045d1fb1c980a328e20c,602.0
6e8c1a1811bbe6ac452f2a8c3c5a7ca9,601.0
7b030c6ddf0c725d349df68a8ec16453,601.0
